id,customer_id,rental_id,rating,comment,sentiment_score,categories,created_at
a3793f6f-96f9-4bdf-9f9d-667dc490814c,c83f1960-2dde-43f1-971a-6c8d6cc13c53,c58565cd-46fa-4580-a3f7-ee4a124a5d0a,4,Machine was in top condition.,0.931,"[""service"", ""communication""]",2024-11-05
3dbe54a1-a301-4161-a3db-af7daa513145,3b4c197c-5f64-405f-998b-18fed0deefea,6018feed-3ed8-494d-b910-d9a357683754,5,"Great service, delivery was on time.",0.994,"[""equipment_quality"", ""communication""]",2025-08-22
4436a80f-3669-4ec0-bfd6-a9062824d5fe,707938a2-022a-47a4-8b9d-b4d50b26a0cc,4eb260e9-315c-4529-84f7-026ec6baa2da,4,Very satisfied with the rental experience.,0.833,"[""communication"", ""service"", ""equipment_quality""]",2025-09-15
3fa82535-c347-426d-b42a-c9a109627a51,3b4c197c-5f64-405f-998b-18fed0deefea,02844698-7bf6-4a55-86ca-282d6551bf52,2,Customer support could be more responsive.,-0.716,"[""pricing"", ""service""]",2025-02-27
c95b2967-87fa-4030-a02e-c3776ce3b7f5,db1ad761-4a3e-4989-8438-2dd4c3027c12,368a41cb-2faf-4f66-a29e-4fc7702893fa,5,"Professional team, will rent again.",0.797,"[""communication""]",2026-05-01
1524e406-56ae-4813-b0e7-39c934cacc1d,0bd1b1eb-11c6-49df-88eb-31691f867bf5,335dd9b4-02e1-42ef-8932-95a470dc3ed1,3,"Decent experience, room for improvement.",0.561,"[""equipment_quality""]",2025-02-16
6ce8efd6-dc00-4ac0-8dc0-224772b2d187,d0921577-6c43-4887-bb94-765c4c839e80,619bb541-72b1-4fc7-97aa-ee1505a49918,4,Very satisfied with the rental experience.,0.799,"[""communication"", ""pricing"", ""service""]",2026-05-12
3dc945f3-49d4-4738-9590-71c2060eb1b4,07f4921e-099c-4d48-9e53-ec1b8c15bf6f,d3cb503a-79bd-4026-b73d-193e6f13ff75,4,"Excellent equipment, worked perfectly on site.",0.838,"[""equipment_quality"", ""delivery""]",2025-12-18
d6de191c-644a-4fed-b9cd-afd3102d969e,5bbb14cf-9dad-4bbf-8aed-4e2e30dfeb16,ee4330a5-9df4-4d16-baa7-6a51e2a4c8c8,2,Machine needed maintenance during rental.,-0.161,"[""communication""]",2025-02-03
c28525a7-4ef3-4fd7-94a4-8d02816fae87,a8d63531-e89c-4faf-8671-b1dda0f09256,8fddc1e3-8eb2-4a30-8a9d-b9f43b7cdac1,5,"Professional team, will rent again.",0.831,"[""communication"", ""delivery"", ""pricing""]",2025-03-25
19b7f922-fca2-4deb-b0b5-0060b9ee5678,db1ad761-4a3e-4989-8438-2dd4c3027c12,a9c70384-278d-4cf9-a7e7-f9952c632167,4,"Excellent equipment, worked perfectly on site.",0.772,"[""delivery""]",2025-04-14
df2410fb-a39b-44e7-bb9b-c7531cfff96c,66ac95a5-e673-4803-b91d-4c51a3e177ec,7f92537f-59a4-4bf4-9512-afcdc9d8684b,3,"Decent experience, room for improvement.",0.383,"[""pricing"", ""service"", ""equipment_quality""]",2026-03-11
cd63a02e-dd41-474c-a408-6eeb8a019870,30012bd6-63e1-4c37-9f7c-71cb2aede345,97becc59-c64a-458f-9c33-2ffff6798acf,5,"Excellent equipment, worked perfectly on site.",0.816,"[""service"", ""communication""]",2025-10-17
797da356-b120-417b-8e04-4431f5141b19,82ea7a64-63ee-4c10-80a6-fdcc7d322da6,04346c1e-4dfa-419d-9e19-76c0ee159500,4,Machine was in top condition.,0.931,"[""communication""]",2025-09-30
3a9b7f59-d115-4db0-878f-b76509a4db2a,ff5c59ce-b7d4-4309-8726-dbeb94e2dd91,63d626fc-5646-4c82-9bcb-4d43eddb1fc0,4,Machine was in top condition.,0.925,"[""communication"", ""delivery"", ""service""]",2024-11-20
2d6a8cba-3070-4975-8045-97b5f30198fa,fb0c3e25-1d16-4efd-8056-2fdcdd4dd869,0414f88f-2916-4ad1-b70b-d97e0b8548f9,5,"Professional team, will rent again.",0.953,"[""equipment_quality"", ""pricing"", ""service""]",2024-10-14
6b374c78-8991-4154-a894-cf9665fd94f4,4cf6ec55-a7f7-463a-b26c-5fa9ecff193c,1fc50f49-b75e-4b53-9c97-8bd846c9f55e,4,"Great service, delivery was on time.",0.871,"[""delivery"", ""service""]",2024-10-16
10f2eb75-1c1e-48d7-9534-ba5ace84fd29,76a223e8-47e7-451d-aa7e-11ea4bd8b7fc,2ef4324b-21c5-4463-a3de-700bd6193b26,5,Very satisfied with the rental experience.,0.777,"[""delivery"", ""communication""]",2025-05-28
6ce75cae-0a64-4230-9a0c-698370424a50,8afccdd5-a2a5-4249-b270-330d173f26df,f4456c9b-397b-46a6-8f20-09d6c0e567e7,5,"Excellent equipment, worked perfectly on site.",0.716,"[""service""]",2026-01-21
e074bb23-2fce-451b-92de-22a2cbb13f96,33837d43-76dd-4f9e-b1e3-f1845b7bbc95,9294b866-8d09-47fc-b5cb-6436f710537d,4,"Excellent equipment, worked perfectly on site.",0.993,"[""communication"", ""equipment_quality""]",2026-03-01
e7ab41b3-fd4a-44a1-abd6-b1587845dd68,0b0f5fd2-9141-4623-9ab3-7b9414d43046,4d65ea3b-3ee8-4ee8-9737-1cdec114395f,4,"Professional team, will rent again.",0.632,"[""equipment_quality"", ""communication""]",2026-01-03
5724ee11-4005-4911-8956-e24da885ba41,a14deceb-f9b0-4286-a069-9c291a911000,fb7d195f-eed6-4df5-99e7-a509571960d2,4,Very satisfied with the rental experience.,0.884,"[""communication"", ""pricing"", ""equipment_quality""]",2026-03-11
b88a5650-7d70-4514-8120-0a9dfbdba06f,c952a0f2-7625-4b7e-b1c9-927504aba3d2,140b2b25-95cc-47a1-a16d-1ffe3fdaad34,5,"Great service, delivery was on time.",0.994,"[""service"", ""communication""]",2025-11-26
554528d2-3ef7-4975-9ca7-cf6cf434bbc4,41143a63-c315-4909-8012-ac3adcf17520,7fc0538d-30e9-41a6-b5b1-2c0ca3adbfd7,3,"Decent experience, room for improvement.",0.553,"[""service"", ""equipment_quality"", ""delivery""]",2025-06-02
